2025/07/23 10:35:37.211, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 67, 2460 MHz, 448.01 W
2025/07/23 10:35:39.233, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 67, 2415 MHz, 449.40 W
2025/07/23 10:35:41.256, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 68, 2340 MHz, 448.46 W
2025/07/23 10:35:43.278, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 68, 2400 MHz, 447.64 W
2025/07/23 10:35:45.300, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 69, 2415 MHz, 449.00 W
2025/07/23 10:35:47.322, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 70, 2400 MHz, 452.03 W
2025/07/23 10:35:49.344, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 70, 2385 MHz, 443.55 W
2025/07/23 10:35:51.367, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 70, 2370 MHz, 448.42 W
2025/07/23 10:35:53.390, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 70, 2370 MHz, 448.83 W
2025/07/23 10:35:55.412, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 70, 2385 MHz, 449.49 W
2025/07/23 10:35:57.434, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 71, 2655 MHz, 447.12 W
2025/07/23 10:35:59.456, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 71, 2430 MHz, 448.21 W
2025/07/23 10:36:01.478, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 71, 2340 MHz, 449.53 W
2025/07/23 10:36:03.500, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 71, 2400 MHz, 448.50 W
2025/07/23 10:36:05.523, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 72, 2370 MHz, 445.14 W
2025/07/23 10:36:07.545, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 67, 2460 MHz, 447.95 W
2025/07/23 10:36:09.567, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 72, 2400 MHz, 448.93 W
2025/07/23 10:36:11.590, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 72, 2340 MHz, 448.40 W
2025/07/23 10:36:13.613, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 72, 2370 MHz, 446.18 W
2025/07/23 10:36:15.635, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 72, 2400 MHz, 448.41 W
2025/07/23 10:36:17.657, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 69, 2385 MHz, 450.14 W
2025/07/23 10:36:19.680, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 73, 2385 MHz, 448.83 W
2025/07/23 10:36:21.703, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 73, 2325 MHz, 445.32 W
2025/07/23 10:36:23.726, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 72, 2370 MHz, 448.21 W
2025/07/23 10:36:25.749, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 73, 2370 MHz, 450.11 W
2025/07/23 10:36:27.771, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 68, 2385 MHz, 448.33 W
2025/07/23 10:36:29.793, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 73, 2385 MHz, 451.98 W
2025/07/23 10:36:31.816, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 73, 2325 MHz, 445.16 W
2025/07/23 10:36:33.838, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 73, 2370 MHz, 449.38 W
2025/07/23 10:36:35.861, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2340 MHz, 448.44 W
2025/07/23 10:36:37.883, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 69, 2385 MHz, 450.72 W
2025/07/23 10:36:39.905, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 69, 2415 MHz, 447.40 W
2025/07/23 10:36:41.928, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 73, 2370 MHz, 448.95 W
2025/07/23 10:36:43.950, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2340 MHz, 449.71 W
2025/07/23 10:36:45.972, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2370 MHz, 448.86 W
2025/07/23 10:36:47.994, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2355 MHz, 446.34 W
2025/07/23 10:36:50.017, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 73, 2415 MHz, 448.98 W
2025/07/23 10:36:52.039, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2400 MHz, 449.17 W
2025/07/23 10:36:54.062, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2340 MHz, 447.70 W
2025/07/23 10:36:56.084, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2355 MHz, 450.55 W
2025/07/23 10:36:58.107, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2370 MHz, 447.62 W
2025/07/23 10:37:00.129, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2670 MHz, 448.90 W
2025/07/23 10:37:02.152, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2370 MHz, 448.00 W
2025/07/23 10:37:04.174, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2325 MHz, 451.04 W
2025/07/23 10:37:06.197, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2325 MHz, 445.06 W
2025/07/23 10:37:08.220, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2370 MHz, 448.61 W
2025/07/23 10:37:10.242, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2385 MHz, 448.58 W
2025/07/23 10:37:12.264, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2385 MHz, 448.24 W
2025/07/23 10:37:14.287, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2340 MHz, 446.40 W
2025/07/23 10:37:16.310, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2355 MHz, 448.37 W
2025/07/23 10:37:18.332, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2370 MHz, 447.59 W
2025/07/23 10:37:20.355, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2355 MHz, 449.07 W
2025/07/23 10:37:22.378, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2385 MHz, 451.27 W
2025/07/23 10:37:24.401, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 73, 2370 MHz, 447.10 W
