2025/07/23 11:49:41.519, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 63, 2340 MHz, 449.68 W
2025/07/23 11:49:43.802, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 65, 2355 MHz, 446.67 W
2025/07/23 11:49:46.084, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 66, 2325 MHz, 445.10 W
2025/07/23 11:49:48.366, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 67, 2310 MHz, 448.51 W
2025/07/23 11:49:50.670, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 68, 2310 MHz, 448.67 W
2025/07/23 11:49:52.970, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 69, 2310 MHz, 451.34 W
2025/07/23 11:49:55.278, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 70, 2310 MHz, 448.04 W
2025/07/23 11:49:57.565, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 71, 2310 MHz, 450.52 W
2025/07/23 11:49:59.846, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 72, 2310 MHz, 447.58 W
2025/07/23 11:50:02.124, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 72, 2295 MHz, 450.87 W
2025/07/23 11:50:04.405, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 73, 2310 MHz, 449.30 W
2025/07/23 11:50:06.682, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 73, 2280 MHz, 450.27 W
2025/07/23 11:50:08.971, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 74, 2295 MHz, 449.59 W
2025/07/23 11:50:11.290, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 74, 2250 MHz, 450.11 W
2025/07/23 11:50:13.570, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 75, 2295 MHz, 449.64 W
2025/07/23 11:50:15.852, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 75, 2325 MHz, 451.99 W
2025/07/23 11:50:18.128, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 75, 2325 MHz, 449.19 W
2025/07/23 11:50:20.404, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 76, 2310 MHz, 450.62 W
2025/07/23 11:50:22.678, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 76, 2265 MHz, 449.29 W
2025/07/23 11:50:24.963, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 76, 2265 MHz, 448.80 W
2025/07/23 11:50:27.250, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 77, 2265 MHz, 449.52 W
2025/07/23 11:50:29.559, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 76, 2250 MHz, 448.74 W
2025/07/23 11:50:31.863, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 77, 2265 MHz, 447.88 W
2025/07/23 11:50:34.159, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 78, 2295 MHz, 448.63 W
2025/07/23 11:50:36.461, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 77, 2235 MHz, 446.50 W
2025/07/23 11:50:38.744, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 78, 2325 MHz, 447.98 W
2025/07/23 11:50:41.028, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 78, 2265 MHz, 449.42 W
2025/07/23 11:50:43.311, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 78, 2280 MHz, 448.64 W
2025/07/23 11:50:45.596, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 78, 2265 MHz, 449.00 W
2025/07/23 11:50:47.884, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 78, 2265 MHz, 449.14 W
2025/07/23 11:50:50.189, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 78, 2280 MHz, 450.73 W
2025/07/23 11:50:52.506, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 78, 2295 MHz, 447.47 W
2025/07/23 11:50:54.796, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 79, 2265 MHz, 452.63 W
2025/07/23 11:50:57.099, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 78, 2295 MHz, 447.93 W
2025/07/23 11:50:59.387, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 79, 2295 MHz, 448.06 W
2025/07/23 11:51:01.677, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 79, 2265 MHz, 448.46 W
2025/07/23 11:51:03.963, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 79, 2250 MHz, 447.57 W
2025/07/23 11:51:06.248, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 79, 2280 MHz, 447.26 W
2025/07/23 11:51:08.535, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 78, 2235 MHz, 446.57 W
2025/07/23 11:51:10.835, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 79, 2265 MHz, 449.97 W
2025/07/23 11:51:13.147, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2280 MHz, 447.84 W
2025/07/23 11:51:15.449, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2250 MHz, 448.52 W
2025/07/23 11:51:17.750, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 75, 2505 MHz, 449.11 W
2025/07/23 11:51:20.037, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 79, 2250 MHz, 448.34 W
