2025/07/23 11:49:41.554, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 66, 2370 MHz, 448.74 W
2025/07/23 11:49:43.836, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 62, 2370 MHz, 445.85 W
2025/07/23 11:49:46.118, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 68, 2490 MHz, 448.11 W
2025/07/23 11:49:48.400, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 69, 2355 MHz, 450.39 W
2025/07/23 11:49:50.705, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 71, 2535 MHz, 447.96 W
2025/07/23 11:49:53.006, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 72, 2325 MHz, 449.91 W
2025/07/23 11:49:55.314, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 72, 2535 MHz, 446.64 W
2025/07/23 11:49:57.599, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 72, 2325 MHz, 446.44 W
2025/07/23 11:49:59.879, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 72, 2550 MHz, 447.06 W
2025/07/23 11:50:02.158, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 73, 2325 MHz, 446.29 W
2025/07/23 11:50:04.438, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 74, 2415 MHz, 448.69 W
2025/07/23 11:50:06.715, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 74, 2310 MHz, 448.01 W
2025/07/23 11:50:09.005, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 75, 2310 MHz, 450.99 W
2025/07/23 11:50:11.324, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 75, 2310 MHz, 448.41 W
2025/07/23 11:50:13.610, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 75, 2310 MHz, 450.25 W
2025/07/23 11:50:15.885, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 76, 2310 MHz, 449.12 W
2025/07/23 11:50:18.162, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 76, 2310 MHz, 450.81 W
2025/07/23 11:50:20.438, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 76, 2310 MHz, 447.75 W
