2025/07/23 11:49:41.590, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 63, 2340 MHz, 448.26 W
2025/07/23 11:49:43.870, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 59, 2400 MHz, 446.50 W
2025/07/23 11:49:46.153, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 66, 2340 MHz, 445.40 W
2025/07/23 11:49:48.435, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 61, 2400 MHz, 445.06 W
2025/07/23 11:49:50.739, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 67, 2340 MHz, 447.61 W
2025/07/23 11:49:53.052, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 68, 2325 MHz, 450.87 W
2025/07/23 11:49:55.349, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 69, 2325 MHz, 448.42 W
2025/07/23 11:49:57.634, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 70, 2325 MHz, 450.05 W
2025/07/23 11:49:59.913, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 71, 2325 MHz, 447.57 W
2025/07/23 11:50:02.192, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 72, 2325 MHz, 449.73 W
2025/07/23 11:50:04.472, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 72, 2310 MHz, 446.99 W
2025/07/23 11:50:06.749, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 73, 2295 MHz, 450.72 W
2025/07/23 11:50:09.039, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 73, 2310 MHz, 447.10 W
2025/07/23 11:50:11.357, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 73, 2280 MHz, 447.44 W
2025/07/23 11:50:13.644, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 74, 2310 MHz, 446.51 W
2025/07/23 11:50:15.919, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 74, 2280 MHz, 448.21 W
2025/07/23 11:50:18.196, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 75, 2310 MHz, 447.22 W
2025/07/23 11:50:20.472, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 75, 2310 MHz, 445.90 W
2025/07/23 11:50:22.746, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 75, 2325 MHz, 448.07 W
2025/07/23 11:50:25.033, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 75, 2280 MHz, 449.19 W
2025/07/23 11:50:27.320, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 74, 2325 MHz, 448.26 W
2025/07/23 11:50:29.629, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 76, 2280 MHz, 448.52 W
2025/07/23 11:50:31.941, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 75, 2280 MHz, 447.19 W
2025/07/23 11:50:34.244, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 76, 2295 MHz, 449.62 W
2025/07/23 11:50:36.530, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 76, 2295 MHz, 447.10 W
2025/07/23 11:50:38.814, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 76, 2295 MHz, 447.85 W
2025/07/23 11:50:41.097, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 76, 2280 MHz, 446.79 W
2025/07/23 11:50:43.381, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 76, 2265 MHz, 445.34 W
2025/07/23 11:50:45.666, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 76, 2310 MHz, 446.39 W
2025/07/23 11:50:47.953, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 76, 2310 MHz, 443.71 W
2025/07/23 11:50:50.260, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 76, 2325 MHz, 446.99 W
2025/07/23 11:50:52.575, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 76, 2280 MHz, 443.48 W
2025/07/23 11:50:54.881, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2400 MHz, 447.04 W
2025/07/23 11:50:57.170, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2280 MHz, 445.12 W
2025/07/23 11:50:59.459, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2265 MHz, 447.98 W
2025/07/23 11:51:01.745, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2295 MHz, 445.68 W
2025/07/23 11:51:04.035, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2250 MHz, 447.72 W
2025/07/23 11:51:06.317, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2265 MHz, 449.49 W
2025/07/23 11:51:08.604, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2295 MHz, 448.28 W
