2025/07/21 23:01:00.926, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 55, 1530 MHz, 349.61 W
2025/07/21 23:01:02.950, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 56, 1545 MHz, 349.56 W
2025/07/21 23:01:04.973, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 57, 1545 MHz, 349.31 W
2025/07/21 23:01:06.997, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 58, 1530 MHz, 349.35 W
2025/07/21 23:01:09.020, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 59, 1530 MHz, 348.94 W
2025/07/21 23:01:11.043, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 61, 1530 MHz, 349.16 W
2025/07/21 23:01:13.067, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 61, 1515 MHz, 348.93 W
2025/07/21 23:01:15.092, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 62, 1590 MHz, 349.21 W
2025/07/21 23:01:17.116, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 63, 1500 MHz, 349.08 W
2025/07/21 23:01:19.140, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 64, 1500 MHz, 349.64 W
2025/07/21 23:01:21.163, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 65, 1500 MHz, 349.06 W
2025/07/21 23:01:23.187, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 66, 1485 MHz, 349.64 W
2025/07/21 23:01:25.211, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 66, 1500 MHz, 349.48 W
2025/07/21 23:01:27.235, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 67, 1470 MHz, 349.06 W
2025/07/21 23:01:29.258, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 67, 1485 MHz, 349.74 W
2025/07/21 23:01:31.282, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 68, 1470 MHz, 349.42 W
2025/07/21 23:01:33.306, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 69, 1500 MHz, 349.45 W
2025/07/21 23:01:35.330, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 69, 1485 MHz, 349.48 W
2025/07/21 23:01:37.353, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1470 MHz, 349.16 W
2025/07/21 23:01:39.376, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1575 MHz, 349.24 W
2025/07/21 23:01:41.400, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1470 MHz, 349.62 W
2025/07/21 23:01:43.423, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1455 MHz, 349.76 W
2025/07/21 23:01:45.447, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 72, 1455 MHz, 348.79 W
2025/07/21 23:01:47.471, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 72, 1455 MHz, 349.50 W
2025/07/21 23:01:49.495, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 72, 1395 MHz, 339.07 W
2025/07/21 23:01:51.519, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 72, 1380 MHz, 337.48 W
2025/07/21 23:01:53.542, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 72, 1350 MHz, 335.85 W
2025/07/21 23:01:55.566, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 72, 1335 MHz, 330.29 W
2025/07/21 23:01:57.590, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1350 MHz, 331.01 W
2025/07/21 23:01:59.613, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1365 MHz, 331.09 W
